kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
322811;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;506;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;506;34;;150 DEN ÇEKEN ;253;34;;PARLAK TAKVÝYESÝZ SÝM;82;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;325 gr;1,24 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322812;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;560;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;560;34;;150 DEN ÇEKEN ;280;34;;PARLAK TAKVÝYESÝZ SÝM;72;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;327 gr;1,24 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322815;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;27,1/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;804;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;804;363;;150 DEN ÇEKEN ;268;6;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,49 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;279 gr;1,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322817;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1110;22;;PARLAK TAKVÝYESÝZ SÝM;232;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;213 gr;0,86 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322818;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;22;;PARLAK TAKVÝYESÝZ SÝM;224;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;213 gr;0,86 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322819;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;660;22;;PARLAK TAKVÝYESÝZ SÝM;248;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;195 gr;0,83 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322821;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;150 DEN ÇEKEN ;200;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322822;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;504;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;504;36;;150 DEN ÇEKEN ;168;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;370 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322823;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1760;22;;PARLAK TAKVÝYESÝZ SÝM;512;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;204 gr;0,84 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322824;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4424;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4424;34;;150 DEN ÇEKEN ;2212;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;339 gr;1,26 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322825;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6760;26;;150 DEN ÇEKEN ;1690;26;;PARLAK TAKVÝYESÝZ SÝM;592;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;247 gr;0,95 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322829;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;8/1 NE KESÝKELYAF;576;28;;150 DEN FDY RENKLÝ;576;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;421 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322830;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4424;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4424;34;;150 DEN ÇEKEN ;2212;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;339 gr;1,26 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322831;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;576;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;576;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,40 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;322 gr;1,19 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322833;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;528;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;528;34;;150 DEN ÇEKEN ;528;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;314 gr;1,16 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322837;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1008;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,32 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322838;CZ00009g;TFT60;4,05$;30.12.24;(009g) TAFTA ÇÝFT RENK;22,0/cm;310cm;218m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;200;22;;10/1 NE KESÝKELYAF;100;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,050 $;1,10 $;ÇÖZGÜ ÝPLÝK;356 gr;1,39 $;ATKI ÝPLÝK;320 gr;1,01 $;APRE;0,80  $;0,54 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322841;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;254;22;;8/1 NE KESÝKELYAF FLAM;46;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;289 gr;1,00 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322842;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;3242;26;;150 DEN ÇEKEN ;786;26;;PARLAK TAKVÝYESÝZ SÝM;549;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;238 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322846;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;880;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;294;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322854;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;38,0/cm;;;;150 DEN 72 F KÝTO SLAP;4940;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4940;38;;150 DEN ÇEKEN ;2470;38;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;2,09 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;296 gr;0,78 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322855;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;52,0/cm;;;;150 DEN 72 F KÝTO SLAP;4830;52;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4830;52;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4830;52;;150 DEN ÇEKEN ;2415;52;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;2,86 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;454 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322858;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;528;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;528;34;;150 DEN ÇEKEN ;264;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;339 gr;1,26 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322859;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;510;28;;8/1 NE KESÝKELYAF FLAM;128;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;385 gr;1,31 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322866;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;36;;300 DEN FDY RENKLÝ;600;36;;150 DEN ÇEKEN ;300;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;359 gr;1,33 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322867;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;720;36;;300 DEN FDY RENKLÝ;720;36;;150 DEN ÇEKEN ;360;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;359 gr;1,33 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322868;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;233;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;234;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;266;24;;8/1 NE KESÝKELYAF;67;24;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,32 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;292 gr;1,04 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322879;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;624;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;624;36;;150 DEN ÇEKEN ;624;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;333 gr;1,23 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322888;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;150 DEN ÇEKEN ;200;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322894;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;800;28;;150 DEN ÇEKEN ;200;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;279 gr;1,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322895;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;640;28;;150 DEN ÇEKEN ;160;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;279 gr;1,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322904;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;900;26;;150 DEN ÇEKEN ;225;26;;PARLAK TAKVÝYESÝZ SÝM;22;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;256 gr;0,96 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322905;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1560;26;;150 DEN ÇEKEN ;390;26;;PARLAK TAKVÝYESÝZ SÝM;76;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;252 gr;0,95 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322906;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;26;;150 DEN ÇEKEN ;270;26;;PARLAK TAKVÝYESÝZ SÝM;176;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;239 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322908;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;300;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;300;32;;8/1 NE KESÝKELYAF FLAM;75;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,76 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;402 gr;1,42 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322912;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1140;26;;150 DEN ÇEKEN ;285;26;;PARLAK TAKVÝYESÝZ SÝM;176;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;240 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322916;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1140;26;;150 DEN ÇEKEN ;285;26;;PARLAK TAKVÝYESÝZ SÝM;156;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;242 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322927;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7150;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;243 gr;0,90 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322928;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7150;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;243 gr;0,90 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322929;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6760;26;;150 DEN ÇEKEN ;1685;26;;PARLAK TAKVÝYESÝZ SÝM;228;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;255 gr;0,96 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322934;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6760;26;;150 DEN ÇEKEN ;1684;26;;PARLAK TAKVÝYESÝZ SÝM;218;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;255 gr;0,96 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322936;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1020;22;;PARLAK TAKVÝYESÝZ SÝM;156;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,10 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;229 gr;0,90 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322938;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;22;;PARLAK TAKVÝYESÝZ SÝM;156;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,10 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;230 gr;0,90 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322939;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1020;22;;PARLAK TAKVÝYESÝZ SÝM;256;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,10 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;217 gr;0,88 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322947;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;21,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1030;21;;PARLAK TAKVÝYESÝZ SÝM;56;21;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,05 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;233 gr;0,88 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322952;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;880;26;;150 DEN ÇEKEN ;220;26;;PARLAK TAKVÝYESÝZ SÝM;188;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;233 gr;0,93 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322956;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1290;26;;150 DEN ÇEKEN ;323;26;;PARLAK TAKVÝYESÝZ SÝM;136;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;245 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322957;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1400;26;;150 DEN ÇEKEN ;350;26;;PARLAK TAKVÝYESÝZ SÝM;156;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;245 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322959;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1440;26;;150 DEN ÇEKEN ;360;26;;PARLAK TAKVÝYESÝZ SÝM;160;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;245 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322961;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1350;26;;150 DEN ÇEKEN ;338;26;;PARLAK TAKVÝYESÝZ SÝM;180;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;242 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322964;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;37,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;324;37;;300 DEN FDY RENKLÝ;324;37;;150 DEN ÇEKEN ;162;37;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;2,04 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;369 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322965;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;640;26;;300 DEN FDY RENKLÝ;640;26;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;288 gr;1,07 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322966;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1020;26;;150 DEN ÇEKEN ;255;26;;PARLAK TAKVÝYESÝZ SÝM;284;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;227 gr;0,92 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
